"label","TreeSort"
"GAS_3",1
"GAS_10",2
"GAS_11",3
"GAS_2",4
"GAS_28",5
"GAS_52",6
"GAS_51",7
"GAS_58",8
"GAS_6",9
"GAS_8",10
"GAS_5",11
"GAS_30",12
"GAS_24",13
"GAS_7",14
"GAS_21",15
"GAS_25",16
"GAS_53",17
"GAS_29",18
"GAS_13",19
"GAS_38",20
"GAS_16",21
"GAS_44",22
"GAS_19",23
"GAS_9",24
"GAS_15",25
"GAS_39",26
"GAS_27",27
"GAS_12",28
"GAS_26",29
"GAS_1",30
"GAS_54",31
"GAS_60",32
"GAS_4",33
"GAS_56",34
"GAS_18",35
"GAS_50",36
"GAS_32",37
"GAS_47",38
"GAS_61",39
"GAS_37",40
"GAS_59",41
"GAS_57",42
"GAS_55",43
"GAS_46",44
"GAS_23",45
"GAS_20",46
"GAS_36",47
"GAS_45",48
"GAS_43",49
"GAS_42",50
"GAS_35",51
"GAS_41",52
"GAS_14",53
"GAS_33",54
"GAS_40",55
"GAS_49",56
"GAS_22",57
"GAS_17",58
"GAS_31",59
"GAS_48",60
"GAS_34",61
"reference",62
